method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
Worst,alternating_groups,0.4826029492624594,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Fair-Break,alternating_groups,0.0002963095806166986,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Fair-Full,alternating_groups,0.0,0.8232323232323232,0.14,0.9,0.09999999999999998,4.096422734764315
VanillaMC,alternating_groups,0.21948576077473084,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
FairMC,alternating_groups,0.4164960078764892,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
EPIRA-Break,alternating_groups,0.0926778465497197,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
EPIRA-Full,alternating_groups,0.054895451984983024,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Epsilon-Break,alternating_groups,0.07640543091075462,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Epsilon-Full,alternating_groups,0.069458620399736,0.9181818181818182,0.18999999999999995,0.9,0.09999999999999998,4.096422734764315
AVG,alternating_groups,0.14376919062862,0.0,0.0,1.0,0.0,0.0
Worst,alternating_groups,0.4826029492624594,0.0,0.0,1.0,0.0,0.0
Fair-Break,alternating_groups,0.0,0.0,0.0,1.0,0.0,0.0
Fair-Full,alternating_groups,0.0,0.0,0.0,1.0,0.0,0.0
VanillaMC,alternating_groups,0.0805789543806976,0.0,0.0,1.0,0.0,0.0
FairMC,alternating_groups,0.0805789543806976,0.0,0.0,1.0,0.0,0.0
EPIRA-Break,alternating_groups,0.048911568818081536,0.0,0.0,1.0,0.0,0.0
EPIRA-Full,alternating_groups,0.0722715250181859,0.0,0.0,1.0,0.0,0.0
Epsilon-Break,alternating_groups,0.10581758824438754,0.0,0.0,1.0,0.0,0.0
Epsilon-Full,alternating_groups,0.10581758824438754,0.0,0.0,1.0,0.0,0.0
AVG,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Worst,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Full,skewed_groups,0.0,0.98,0.98,0.0,1.0,35.00385317267997
VanillaMC,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
FairMC,skewed_groups,0.14226102700842297,0.88,0.88,0.0,1.0,35.00385317267997
